Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7546500/MCFRBA_BC2,3030004,35.05863,-78.88527,"CROSS CRK OFF BRAGG BLVD AT FAYETTEVILLE","Cumberland","","C",CPF15,no

Query Results: 
Stations:B7546500	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7546500,2005-02-10,00:00:00,Yes,0,0,,0,,0,,0,,9,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-11,00:00:00,Yes,0,0,,0,,0,,0,,5,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-14,00:00:00,Yes,0,0,,0,,0,,0,,5,B2,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-15,00:00:00,Yes,0,0,,0,,0,,0,,1,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-16,00:00:00,Yes,0,0,,0,,0,,0,,4,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-17,00:00:00,Yes,0,0,,0,,0,,0,,13,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-18,00:00:00,Yes,0,0,,0,,0,,0,,1,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-21,00:00:00,Yes,0,0,,0,,0,,0,,2,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-22,00:00:00,Yes,0,0,,0,,0,,0,,14,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-23,00:00:00,Yes,0,0,,0,,0,,0,,1,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-24,00:00:00,Yes,0,0,,0,,0,,0,,720,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-25,00:00:00,Yes,0,0,,0,,0,,0,,21,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-02-28,00:00:00,Yes,0,0,,0,,0,,0,,380,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-01,00:00:00,Yes,0,0,,0,,0,,0,,57,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-02,00:00:00,Yes,0,0,,0,,0,,0,,78,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-03,00:00:00,Yes,0,0,,0,,0,,0,,15,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-04,00:00:00,Yes,0,0,,0,,0,,0,,12,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-07,00:00:00,Yes,0,0,,0,,0,,0,,24,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-08,00:00:00,Yes,0,0,,0,,0,,0,,640,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-09,00:00:00,Yes,0,0,,0,,0,,0,,28,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-10,00:00:00,Yes,0,0,,0,,0,,0,,27,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-11,00:00:00,Yes,0,0,,0,,0,,0,,22,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-14,00:00:00,Yes,0,0,,0,,0,,0,,74,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-15,00:00:00,Yes,0,0,,0,,0,,0,,57,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-16,00:00:00,Yes,0,0,,0,,0,,0,,46,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-17,00:00:00,Yes,0,0,,0,,0,,0,,420,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-18,00:00:00,Yes,0,0,,0,,0,,0,,102,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-21,00:00:00,Yes,0,0,,0,,0,,0,,110,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-22,00:00:00,Yes,0,0,,0,,0,,0,,56,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-23,00:00:00,Yes,0,0,,0,,0,,0,,980,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-24,00:00:00,Yes,0,0,,0,,0,,0,,28,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-28,00:00:00,Yes,0,0,,0,,0,,0,,4400,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-29,00:00:00,Yes,0,0,,0,,0,,0,,22,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-30,00:00:00,Yes,0,0,,0,,0,,0,,96,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7546500,2005-03-31,00:00:00,Yes,0,0,,0,,0,,0,,43,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
